id,name
0,aegislash
1,amoonguss
2,arcanine
3,azumarill
4,blastoise
5,blaziken
6,blissey
7,calyrex
8,celesteela
9,centiskorch
10,chansey
11,charizard
12,cinderace
13,clefable
14,clefairy
15,coalossal
16,comfey
17,cresselia
18,darmanitan
19,dialga
20,diggersby
21,dracovish
22,dracozolt
23,dragapult
24,drifblim
25,durant
26,dusclops
27,eternatus
28,excadrill
29,ferrothorn
30,garchomp
31,gastrodon
32,gigalith
33,glastrier
34,gothitelle
35,grimmsnarl
36,groudon
37,gyarados
38,heatran
39,hippowdon
40,hooh
41,hydreigon
42,incineroar
43,indeedee
44,kartana
45,kyogre
46,landorus
47,lapras
48,ludicolo
49,mamoswine
50,metagross
51,mewtwo
52,mienshao
53,milotic
54,mimikyu
55,moltres
56,necrozma
57,nihilego
58,ninetales
59,pheromosa
60,pikachu
61,porygon2
62,primarina
63,quagsire
64,raichu
65,raikou
66,regieleki
67,regigigas
68,registeel
69,rhyperior
70,rillaboom
71,rotom
72,sableye
73,scrafty
74,shedinja
75,skarmory
76,solgaleo
77,spectrier
78,stakataka
79,stoutland
80,sylveon
81,talonflame
82,tapufini
83,tapulele
84,thundurus
85,togedemaru
86,togekiss
87,torkoal
88,tornadus
89,toxapex
90,tyranitar
91,umbreon
92,urshifu
93,venusaur
94,weezing
95,whimsicott
96,xerneas
97,yveltal
98,zacian
99,zapdos
100,zekrom
101,zygarde
